loan_id,face_count,status,file_path
loan_0001,2,OK,loan_0001/face_signing.jpg
loan_0002,2,OK,loan_0002/face_signing.jpg
loan_0003,2,OK,loan_0003/face_signing.jpg
loan_0004,2,OK,loan_0004/face_signing.jpg
loan_0005,2,OK,loan_0005/face_signing.jpg
loan_0006,2,OK,loan_0006/face_signing.jpg
loan_0007,2,OK,loan_0007/face_signing.jpg
loan_0008,2,OK,loan_0008/face_signing.jpg
loan_0009,2,OK,loan_0009/face_signing.jpg
loan_0010,2,OK,loan_0010/face_signing.jpg
loan_0011,2,OK,loan_0011/face_signing.jpg
loan_0012,2,OK,loan_0012/face_signing.jpg
loan_0013,2,OK,loan_0013/face_signing.jpg
loan_0014,2,OK,loan_0014/face_signing.jpg
loan_0015,2,OK,loan_0015/face_signing.jpg
loan_0016,2,OK,loan_0016/face_signing.jpg
loan_0017,2,OK,loan_0017/face_signing.jpg
loan_0018,2,OK,loan_0018/face_signing.jpg
loan_0019,2,OK,loan_0019/face_signing.jpg
loan_0020,2,OK,loan_0020/face_signing.jpg
loan_0021,2,OK,loan_0021/face_signing.jpg
loan_0022,2,OK,loan_0022/face_signing.jpg
loan_0023,2,OK,loan_0023/face_signing.jpg
loan_0024,2,OK,loan_0024/face_signing.jpg
loan_0025,2,OK,loan_0025/face_signing.jpg
loan_0026,2,OK,loan_0026/face_signing.jpg
loan_0027,2,OK,loan_0027/face_signing.jpg
loan_0028,2,OK,loan_0028/face_signing.jpg
loan_0029,2,OK,loan_0029/face_signing.jpg
loan_0030,2,OK,loan_0030/face_signing.jpg
loan_0031,2,OK,loan_0031/face_signing.jpg
loan_0032,3,MULTI_3,loan_0032/face_signing.jpg
loan_0033,2,OK,loan_0033/face_signing.jpg
loan_0034,2,OK,loan_0034/face_signing.jpg
loan_0035,2,OK,loan_0035/face_signing.jpg
loan_0036,2,OK,loan_0036/face_signing.jpg
loan_0037,3,MULTI_3,loan_0037/face_signing.jpg
loan_0038,2,OK,loan_0038/face_signing.jpg
loan_0039,2,OK,loan_0039/face_signing.jpg
loan_0040,2,OK,loan_0040/face_signing.jpg
loan_0041,2,OK,loan_0041/face_signing.jpg
loan_0042,2,OK,loan_0042/face_signing.jpg
loan_0043,2,OK,loan_0043/face_signing.jpg
loan_0044,2,OK,loan_0044/face_signing.jpg
loan_0045,2,OK,loan_0045/face_signing.jpg
loan_0046,2,OK,loan_0046/face_signing.jpg
loan_0047,2,OK,loan_0047/face_signing.jpg
loan_0048,2,OK,loan_0048/face_signing.jpg
loan_0049,2,OK,loan_0049/face_signing.jpg
loan_0050,2,OK,loan_0050/face_signing.jpg
